id,email,first_name,last_name,order_count,total_spent,state,currency,verified_email,accepts_marketing,email_marketing_consent_state,created_at,_weld_synced
100001,customer_e2a6a1ace3@protonmail.com,Customer,100001,4,92.44,enabled,GBP,True,False,not_subscribed,2024-07-01 23:05:00,
100002,customer_bb36c34eb6@gmail.com,Customer,100002,2,44.98,enabled,GBP,True,True,subscribed,2024-07-01 12:14:00,
100003,customer_3dc81e3f2c@yahoo.co.uk,Customer,100003,1,76.97,enabled,GBP,True,True,subscribed,2024-07-01 23:26:00,
100004,customer_1ea8506335@mail.com,Customer,100004,2,206.14,enabled,GBP,True,False,not_subscribed,2024-07-01 06:48:00,
100005,customer_efd1a2f9b0@hotmail.com,Customer,100005,3,191.92,enabled,GBP,True,False,not_subscribed,2024-07-01 14:09:00,
100006,customer_758691fdf7@gmail.com,Customer,100006,3,250.99,enabled,GBP,True,False,not_subscribed,2024-07-01 08:24:00,
100007,customer_9e3fc2a6d0@icloud.com,Customer,100007,2,181.56,enabled,GBP,True,False,not_subscribed,2024-07-01 14:51:00,
100008,customer_ab24c2fe5b@gmail.com,Customer,100008,2,67.97,enabled,GBP,True,False,not_subscribed,2024-07-01 18:05:00,
100009,customer_795202367b@icloud.com,Customer,100009,3,132.94,enabled,GBP,True,False,not_subscribed,2024-07-01 17:36:00,
100010,customer_daa28096f9@protonmail.com,Customer,100010,2,37.47,enabled,GBP,True,True,subscribed,2024-07-01 13:49:00,
100011,customer_09a146c8d1@yahoo.co.uk,Customer,100011,1,45.97,enabled,GBP,True,True,subscribed,2024-07-01 09:24:00,
100012,customer_21bf043d93@hotmail.com,Customer,100012,2,181.96,enabled,GBP,True,False,not_subscribed,2024-07-01 11:23:00,
100013,customer_33932d50e4@protonmail.com,Customer,100013,4,300.81,enabled,GBP,True,False,not_subscribed,2024-07-01 08:38:00,
100014,customer_a3c3a95f3e@yahoo.co.uk,Customer,100014,2,203.94,enabled,GBP,True,False,not_subscribed,2024-07-01 11:29:00,
100015,customer_e025b5159b@protonmail.com,Customer,100015,2,69.95,enabled,GBP,True,False,not_subscribed,2024-07-01 23:14:00,
100016,customer_89deb442ec@mail.com,Customer,100016,1,89.98,enabled,GBP,True,False,not_subscribed,2024-07-01 07:14:00,
100017,customer_07986d41d4@outlook.com,Customer,100017,1,26.99,enabled,GBP,True,False,not_subscribed,2024-07-01 14:04:00,
100018,customer_1be1ef5ef1@protonmail.com,Customer,100018,2,48.38,enabled,GBP,True,False,not_subscribed,2024-07-01 16:13:00,
100019,customer_8a8eac8eae@protonmail.com,Customer,100019,1,67.98,enabled,GBP,True,True,subscribed,2024-07-01 20:09:00,
100020,customer_6372b5b816@icloud.com,Customer,100020,2,51.98,enabled,GBP,True,True,subscribed,2024-07-01 23:16:00,
100021,customer_10e54ab2f0@icloud.com,Customer,100021,4,178.23,enabled,GBP,True,True,subscribed,2024-07-01 18:23:00,
100022,customer_70314ca6c2@icloud.com,Customer,100022,2,43.96,enabled,GBP,True,False,not_subscribed,2024-07-01 21:05:00,
100023,customer_65feb6b8c9@yahoo.co.uk,Customer,100023,2,208.95,enabled,GBP,True,False,not_subscribed,2024-07-01 11:50:00,
100024,customer_a6b83cd033@outlook.com,Customer,100024,2,107.95,enabled,GBP,True,False,not_subscribed,2024-07-01 18:38:00,
100025,customer_e55a28b1bf@icloud.com,Customer,100025,1,53.98,enabled,GBP,True,False,not_subscribed,2024-07-01 06:43:00,
100026,customer_808d45ab3b@icloud.com,Customer,100026,2,159.57,enabled,GBP,True,False,not_subscribed,2024-07-01 14:49:00,
100027,customer_f9a595bbc8@outlook.com,Customer,100027,1,186.98,enabled,GBP,True,True,subscribed,2024-07-01 11:29:00,
100028,,Customer,100028,2,98.95,enabled,GBP,False,False,not_subscribed,2024-07-01 14:32:00,
100029,customer_fa8c4b591e@gmail.com,Customer,100029,6,293.71,enabled,GBP,True,False,not_subscribed,2024-07-01 15:53:00,
100030,customer_9d0bea2cbb@yahoo.co.uk,Customer,100030,3,181.93,enabled,GBP,True,False,not_subscribed,2024-07-01 17:48:00,
100031,customer_c7a8558c63@icloud.com,Customer,100031,1,66.97,enabled,GBP,True,False,not_subscribed,2024-07-01 06:38:00,
