id,name,customer_id,email,currency,taxes_included,total_price,subtotal_price,total_discounts,total_line_items_price,total_tax,total_shipping_price_set_shop_money_amount,total_weight,financial_status,fulfillment_status,created_at,processed_at,updated_at,cancelled_at,cancel_reason,confirmed,test,buyer_accepts_marketing,source_name,referring_site,landing_site,shipping_address_country,shipping_address_country_code,shipping_address_city,customer_locale,presentment_currency,order_number,_weld_synced
500001,#VIT1,100001,customer_e2a6a1ace3@mail.com,GBP,True,25.49,25.49,4.5,29.99,4.25,0,140,paid,fulfilled,2024-07-01T23:56:55,2024-07-01T23:56:55,2024-07-02T00:02:55,,,True,False,False,web,https://www.google.com/,/products/cbd-oil-20,United Kingdom,GB,Newcastle,en,GBP,1001,2024-07-01T23:56:55
500002,#VIT2,100002,customer_bb36c34eb6@mail.com,GBP,True,24.99,24.99,0.0,24.99,4.16,0,140,paid,fulfilled,2024-07-01T16:50:59,2024-07-01T16:50:59,2024-07-01T17:13:59,,,True,False,True,web,https://www.google.com/,/products/collagen,United Kingdom,GB,Liverpool,en,GBP,1002,2024-07-01T16:50:59
500003,#VIT3,100003,customer_3dc81e3f2c@hotmail.com,GBP,True,76.97,76.97,0.0,76.97,12.83,0,710,paid,fulfilled,2024-07-01T13:12:52,2024-07-01T13:12:52,2024-07-01T13:40:52,,,True,False,True,web,https://www.facebook.com/,/products/cbd-gummies,United Kingdom,GB,Nottingham,en,GBP,1003,2024-07-01T13:12:52
500004,#VIT4,100004,customer_1ea8506335@outlook.com,GBP,True,91.16,91.16,22.8,113.96,15.19,0,350,paid,fulfilled,2024-07-01T22:25:43,2024-07-01T22:25:43,2024-07-01T22:37:43,,,True,False,False,web,https://www.instagram.com/,/products/vitamin-d3,United Kingdom,GB,Cardiff,en,GBP,1004,2024-07-01T22:25:43
500005,#VIT5,100005,customer_efd1a2f9b0@protonmail.com,GBP,True,104.96,99.97,0.0,99.97,16.66,4.99,180,paid,fulfilled,2024-07-01T22:07:24,2024-07-01T22:07:24,2024-07-01T22:31:24,,,True,False,False,web,https://www.instagram.com/,/products/vitamin-d3,United Kingdom,GB,Manchester,en,GBP,1005,2024-07-01T22:07:24
500006,#VIT6,100006,customer_758691fdf7@protonmail.com,GBP,True,87.97,83.98,0.0,83.98,14.0,3.99,190,paid,fulfilled,2024-07-01T16:39:20,2024-07-01T16:39:20,2024-07-01T16:49:20,,,True,False,False,web,https://www.facebook.com/,/products/vitamin-d3,United Kingdom,GB,Nottingham,en,GBP,1006,2024-07-01T16:39:20
500007,#VIT7,100007,customer_9e3fc2a6d0@icloud.com,GBP,True,125.57,125.57,31.4,156.97,20.93,0,320,paid,fulfilled,2024-07-01T18:43:47,2024-07-01T18:43:47,2024-07-01T19:03:47,,,True,False,False,web,,/products/vitamin-d3,United Kingdom,GB,Liverpool,en,GBP,1007,2024-07-01T18:43:47
500008,#VIT8,100008,customer_ab24c2fe5b@protonmail.com,GBP,True,37.98,37.98,0.0,37.98,6.33,0,240,paid,fulfilled,2024-07-01T12:32:30,2024-07-01T12:32:30,2024-07-01T12:52:30,,,True,False,True,web,https://www.facebook.com/,/products/sleep-support,United Kingdom,GB,Bristol,en,GBP,1008,2024-07-01T12:32:30
500009,#VIT9,100009,customer_795202367b@gmail.com,GBP,True,34.98,29.99,0.0,29.99,5.0,4.99,50,paid,fulfilled,2024-07-01T13:51:12,2024-07-01T13:51:12,2024-07-01T14:06:12,,,True,False,False,web,direct,/products/ashwagandha,United Kingdom,GB,Leeds,en,GBP,1009,2024-07-01T13:51:12
500010,#VIT10,100010,customer_daa28096f9@mail.com,GBP,True,17.48,13.49,1.5,14.99,2.25,3.99,80,paid,fulfilled,2024-07-01T18:31:25,2024-07-01T18:31:25,2024-07-01T18:54:25,,,True,False,False,web,https://www.google.com/,/products/ashwagandha,United Kingdom,GB,Leeds,en,GBP,1010,2024-07-01T18:31:25
500011,#VIT11,100011,customer_09a146c8d1@protonmail.com,GBP,True,45.97,41.98,0.0,41.98,7.0,3.99,250,paid,fulfilled,2024-07-01T09:29:08,2024-07-01T09:29:08,2024-07-01T09:58:08,,,True,False,False,web,,/products/vitamin-d3,United Kingdom,GB,Cambridge,en,GBP,1011,2024-07-01T09:29:08
500012,#VIT12,100012,customer_21bf043d93@icloud.com,GBP,True,109.99,109.99,0.0,109.99,18.33,0,120,paid,fulfilled,2024-07-01T11:47:55,2024-07-01T11:47:55,2024-07-01T12:03:55,,,True,False,False,web,https://www.facebook.com/,/products/vitamin-d3,United Kingdom,GB,Manchester,en,GBP,1012,2024-07-01T11:47:55
